iter	Logloss
0	0.6678467936
1	0.637319878
2	0.6138515757
3	0.5953069658
4	0.5778583128
5	0.5639312516
6	0.5458367191
7	0.5343764576
8	0.5263626326
9	0.5140751511
10	0.5065798404
11	0.4984246439
12	0.490808857
13	0.4817430297
14	0.4744533994
15	0.467408166
16	0.4606650054
17	0.4528960043
18	0.4471554827
19	0.4398154928
20	0.4335786336
21	0.4270648672
22	0.4236108865
23	0.4186830378
24	0.4144190888
25	0.4100927097
26	0.40460894
27	0.3997701673
28	0.3961868001
29	0.3917125588
30	0.3873819664
31	0.384035082
32	0.3799401468
33	0.3764886714
34	0.373535384
35	0.3691735339
36	0.3667020086
37	0.3630085276
38	0.3599414541
39	0.3571148203
40	0.3539785698
41	0.351365673
42	0.3487243083
43	0.3462844108
44	0.3438569254
45	0.3401280588
46	0.3377555449
47	0.3346520324
48	0.332056928
49	0.328728747
50	0.3270394339
51	0.3241040529
52	0.3214085707
53	0.3184629981
54	0.3166419072
55	0.3143388264
56	0.3113859661
57	0.3089854397
58	0.3060178614
59	0.3031237019
60	0.3010111567
61	0.2988540877
62	0.2969497282
63	0.2947345848
64	0.2926068946
65	0.2901092074
66	0.2878120764
67	0.2859185916
68	0.2842898582
69	0.2819819664
70	0.2803279535
71	0.2784316504
72	0.2767989885
73	0.2756820223
74	0.2740636228
75	0.2727556371
76	0.2711815336
77	0.2698882943
78	0.2677339013
79	0.2652300365
80	0.2630721135
81	0.261185888
82	0.2589468885
83	0.2570311703
84	0.2545840705
85	0.2528626172
86	0.2512061276
87	0.248784535
88	0.2470482784
89	0.2456614936
90	0.2438736531
91	0.2433587259
92	0.2412983339
93	0.2394011199
94	0.2384496803
95	0.2380660897
96	0.2357109127
97	0.234025215
98	0.2326721505
99	0.230359049
100	0.2283257299
101	0.2264098552
102	0.2246525323
103	0.2234351457
104	0.2212734792
105	0.2209350956
106	0.2189993218
107	0.2177518588
108	0.2162438435
109	0.2159474786
110	0.2142054003
111	0.2124096315
112	0.2119639525
113	0.2100756062
114	0.2080346008
115	0.2060703733
116	0.2049191034
117	0.2031896363
118	0.2011892404
119	0.2000975822
120	0.1982051508
121	0.1965896407
122	0.1948374421
123	0.1946205595
124	0.1933356897
125	0.1916264918
126	0.1914197865
127	0.1912171947
128	0.1900766999
129	0.1883491829
130	0.1868711301
131	0.186566908
132	0.1850667925
133	0.1832821689
134	0.1822613958
135	0.180976099
136	0.1795609887
137	0.178405107
138	0.1769790649
139	0.1759260377
140	0.1754499407
141	0.1746201017
142	0.1733231331
143	0.173142362
144	0.1720339932
145	0.1707310463
146	0.1690123544
147	0.1684333175
148	0.1676136415
149	0.1664384443
150	0.1651243523
151	0.1649432965
152	0.1634486754
153	0.1622226487
154	0.1614952514
155	0.1611249411
156	0.1599301865
157	0.1592359543
158	0.1590825693
159	0.1579780579
160	0.157219474
161	0.1561591163
162	0.1550716856
163	0.1537186352
164	0.1533212519
165	0.1518664431
166	0.1505920211
167	0.1499083078
168	0.1497606875
169	0.1489014412
170	0.1480646133
171	0.1471143694
172	0.146416109
